32'h3cbd2e88,32'h40ce5ce0,32'h40d6c928, 32'h40c80baa,32'h40dd1a5e, 32'h40bd8450,32'h40e7a1b8,// invsqrt(0.0231) = 6.5804
32'h3fe16596,32'h3f3d0f14,32'h3f44c68e, 32'h3f37457a,32'h3f4a9028, 32'h3f2da022,32'h3f543580,// invsqrt(1.7609) = 0.7536
32'h411e97f4,32'h3e9f5f59,32'h3ea5e0a1, 32'h3e9a7e64,32'h3eaac196, 32'h3e925cca,32'h3eb2e330,// invsqrt(9.9121) = 0.3176
32'h3f70e360,32'h3f815098,32'h3f8697cd, 32'h3f7ab65f,32'h3f8a8d34, 32'h3f6d845a,32'h3f912637,// invsqrt(0.9410) = 1.0309
32'h3eb20fc3,32'h3fd4b583,32'h3fdd641b, 32'h3fce3291,32'h3fe3e70d, 32'h3fc35854,32'h3feec14a,// invsqrt(0.3478) = 1.6957
32'h41d9e8ca,32'h3e404791,32'h3e4820b1, 32'h3e3a64b9,32'h3e4e0389, 32'h3e309551,32'h3e57d2f1,// invsqrt(27.2387) = 0.1916
32'h3f9471b8,32'h3f68f6dd,32'h3f72791b, 32'h3f61d52f,32'h3f799ac9, 32'h3f55f263,32'h3f82becb,// invsqrt(1.1597) = 0.9286
32'h3fd18fc5,32'h3f441263,32'h3f4c1323, 32'h3f3e11d3,32'h3f5213b3, 32'h3f3410e3,32'h3f5c14a3,// invsqrt(1.6372) = 0.7815
32'h3f7937da,32'h3f7e4547,32'h3f845313, 32'h3f767ca0,32'h3f883766, 32'h3f69838a,32'h3f8eb3f1,// invsqrt(0.9735) = 1.0135
32'h3fa40d0e,32'h3f5d9b25,32'h3f66a6b4, 32'h3f56d27b,32'h3f6d6f5f, 32'h3f4b8408,32'h3f78bdd2,// invsqrt(1.2816) = 0.8833
32'h40bbf643,32'h3ecf0804,32'h3ed77b48, 32'h3ec8b191,32'h3eddd1bb, 32'h3ebe217c,32'h3ee861d0,// invsqrt(5.8738) = 0.4126
32'h3e3582c7,32'h4014f8d7,32'h401b0d72, 32'h40106962,32'h401f9ce6, 32'h4008cfa0,32'h402736a8,// invsqrt(0.1773) = 2.3752
32'h3f2f7ae8,32'h3f9782a1,32'h3f9db1c2, 32'h3f92df49,32'h3fa2551b, 32'h3f8b2460,32'h3faa1004,// invsqrt(0.6855) = 1.2078
32'h3f73128b,32'h3f80bb85,32'h3f85fca4, 32'h3f799559,32'h3f89ed7b, 32'h3f6c728a,32'h3f907ee3,// invsqrt(0.9495) = 1.0262
32'h3fcd1249,32'h3f4634ee,32'h3f4e4bfc, 32'h3f4023a2,32'h3f545d48, 32'h3f3606d0,32'h3f5e7a1a,// invsqrt(1.6021) = 0.7900
32'h3f726959,32'h3f80e86a,32'h3f862b5e, 32'h3f79ec64,32'h3f8a1d96, 32'h3f6cc501,32'h3f90b148,// invsqrt(0.9469) = 1.0276
32'h403c595c,32'h3f123e24,32'h3f18363a, 32'h3f0dc413,32'h3f1cb04b, 32'h3f064df7,32'h3f242667,// invsqrt(2.9430) = 0.5829
32'h3dcfe73f,32'h4044da2b,32'h404ce313, 32'h403ed37d,32'h4052e9c1, 32'h4034c85c,32'h405cf4e2,// invsqrt(0.1015) = 3.1386
32'h3f1749ff,32'h3fa32cac,32'h3fa9d5ae, 32'h3f9e2deb,32'h3faed46f, 32'h3f95daa8,32'h3fb727b2,// invsqrt(0.5910) = 1.3008
32'h3f1fb0f5,32'h3f9ed2e2,32'h3fa54e6e, 32'h3f99f639,32'h3faa2b17, 32'h3f91dbca,32'h3fb24586,// invsqrt(0.6238) = 1.2661
32'h3f831dec,32'h3f77e150,32'h3f80ffb4, 32'h3f704abe,32'h3f84cafd, 32'h3f63a520,32'h3f8b1dcc,// invsqrt(1.0244) = 0.9880
32'h3fee0570,32'h3f37fa13,32'h3f3f7c71, 32'h3f32584c,32'h3f451e38, 32'h3f28f555,32'h3f4e812f,// invsqrt(1.8595) = 0.7333
